team_id,team,worker_cnt,area
0,产险呼入01班-SH,7,SH
1,产险呼入01班-SZ,13,SZ
2,产险呼入01班-WH,11,WH
3,产险呼入02班-SH,8,SH
4,产险呼入02班-SZ,9,SZ
5,产险呼入02班-WH,11,WH
6,产险呼入03班-SH,10,SH
7,产险呼入03班-SZ,11,SZ
8,产险呼入03班-WH,5,WH
9,产险呼入04班-SZ,11,SZ
10,产险呼入04班-WH,13,WH
11,产险呼入05班-SZ,12,SZ
12,产险呼入05班-WH,11,WH
13,产险呼入06班-WH,12,WH
14,产险呼入07班-WH,12,WH
15,产险呼入09班-WH,10,WH
16,产险呼入10班-WH,10,WH
17,产险呼入11班-WH,9,WH
18,产险呼入12班-WH,5,WH
19,产险呼入13班-WH,13,WH
20,产险呼入14班-WH,10,WH
21,产险呼入15班-WH,12,WH
22,产险培训班-呼入01班-SH,12,SH
23,产险培训班2019-呼入3-WH,18,WH
24,产险培训班2019-呼入4-WH,20,WH
25,产险培训班2019-呼入5-WH,30,WH
