,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,62,75,-1,75,90,-1,87,15,-1,91,91,-1,4,13,42,-1,15,53,24,-1,15,13,42,-1,15,59,-1,70,50,-1,13
1,-1,14,33,-1,13,14,14,-1,15,83,91,-1,83,15,-1,84,28,-1,18,84,-1,27,84,58,-1,59,15,-1,30,15,-1
2,15,2,-1,2,33,83,-1,54,84,-1,84,84,-1,87,15,-1,36,24,-1,84,24,-1,59,28,-1,84,42,-1,15,8,-1
3,84,27,-1,13,75,58,-1,15,85,50,-1,85,87,-1,91,75,59,36,-1,13,59,-1,27,91,15,90,-1,24,85,77,50
4,14,2,2,34,-1,90,24,-1,27,59,-1,34,15,-1,28,91,14,-1,87,27,-1,59,85,-1,4,15,-1,75,10,-1,-1
5,85,15,-1,24,14,-1,43,91,-1,90,36,84,-1,59,15,-1,84,27,13,-1,58,59,-1,13,33,-1,27,84,-1,91,2
6,34,-1,75,87,-1,44,24,-1,27,59,84,-1,75,15,-1,84,27,13,-1,27,83,2,-1,33,62,-1,59,84,-1,15,85
7,24,-1,35,59,-1,59,15,-1,14,27,2,-1,14,43,-1,84,84,13,-1,90,90,-1,85,2,36,15,-1,18,14,-1,24
8,78,-1,2,90,2,42,-1,59,4,-1,13,27,-1,18,87,-1,2,24,-1,13,10,44,75,-1,59,15,-1,24,59,44,-1
9,5,-1,14,24,-1,90,59,-1,27,84,-1,87,27,-1,32,84,-1,84,59,-1,24,2,-1,24,83,33,-1,87,27,-1,14
10,-1,33,27,-1,14,27,-1,84,54,-1,15,84,-1,59,2,-1,1,15,-1,42,15,-1,27,13,-1,14,84,-1,84,84,15
11,2,39,-1,24,84,-1,15,83,-1,27,83,-1,40,24,-1,27,84,-1,18,84,-1,90,14,-1,59,24,-1,59,90,-1,85
12,-1,15,84,-1,33,22,-1,5,33,-1,14,84,90,-1,30,85,-1,59,15,-1,10,33,-1,85,13,15,59,-1,59,27,-1
13,27,-1,84,59,15,-1,24,2,35,-1,85,59,44,-1,10,27,-1,15,84,-1,-1,18,84,-1,84,83,-1,59,14,-1,27
14,10,24,-1,13,15,-1,20,14,2,27,-1,14,27,-1,54,24,-1,91,84,47,-1,4,14,58,18,-1,84,43,84,-1,2
15,-1,59,24,-1,75,49,-1,87,59,-1,2,27,-1,44,59,-1,15,85,-1,15,14,13,15,85,-1,84,27,-1,2,14,-1
16,59,85,-1,33,27,-1,84,14,-1,2,24,-1,13,84,-1,33,59,-1,-1,-1,90,15,4,27,-1,62,24,-1,2,36,-1
17,85,27,59,-1,83,13,-1,27,83,-1,2,75,-1,10,14,15,-1,32,84,-1,84,15,2,42,24,-1,15,84,2,42,59
18,59,15,-1,15,90,-1,2,59,44,-1,75,24,-1,87,75,-1,44,58,-1,18,13,34,59,-1,2,27,-1,75,87,34,15
19,-1,13,13,-1,27,84,-1,27,91,13,-1,13,54,-1,15,2,33,-1,90,15,-1,27,84,15,-1,90,33,-1,51,15,-1
20,15,84,24,-1,27,2,-1,15,2,75,-1,33,24,-1,83,30,-1,24,59,-1,8,84,36,27,-1,84,75,87,-1,2,59
21,36,59,-1,75,84,-1,15,14,15,85,-1,27,59,-1,85,59,5,-1,90,84,-1,24,2,-1,2,33,-1,24,84,-1,15
22,2,90,84,-1,24,84,-1,15,13,-1,15,59,-1,24,14,-1,42,59,-1,14,24,-1,33,15,-1,2,15,-1,91,2,-1
23,91,-1,59,13,-1,15,84,84,-1,14,24,-1,84,24,-1,14,15,2,-1,27,70,36,-1,79,84,27,-1,13,15,59,37
24,84,-1,85,15,-1,15,58,-1,84,33,-1,2,15,-1,27,59,85,-1,49,59,-1,13,18,-1,24,13,83,-1,27,84,91
25,-1,84,15,84,59,-1,84,39,-1,15,58,15,-1,84,84,15,-1,84,24,-1,43,84,-1,84,85,-1,14,15,-1,85,84
